frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
0,0.034,-1.00,-1.00,0.00,nan,nan,nan,False
1,0.075,-1.00,-1.00,0.00,nan,nan,nan,False
2,0.107,-1.00,-1.00,0.00,nan,nan,nan,False
3,0.128,-1.00,-1.00,0.00,nan,nan,nan,False
4,0.145,-1.00,-1.00,0.00,nan,nan,nan,False
5,0.161,-1.00,-1.00,0.00,nan,nan,nan,False
6,0.224,289.53,253.82,3565.00,nan,nan,nan,False
7,0.276,290.70,252.69,3663.50,nan,nan,nan,False
8,0.312,290.01,252.47,3784.00,nan,nan,nan,False
9,0.346,289.44,252.58,3759.00,nan,nan,nan,False
10,0.375,289.37,252.84,3758.00,nan,nan,nan,False
11,0.414,289.00,252.60,3603.00,nan,nan,nan,False
12,0.443,288.93,253.04,3787.50,nan,nan,nan,False
13,0.472,288.88,253.46,3747.00,nan,nan,nan,False
14,0.503,288.63,253.49,3600.50,nan,nan,nan,False
15,0.534,288.39,253.53,3583.00,nan,nan,nan,False
16,0.566,288.56,253.17,3650.00,nan,nan,nan,False
17,0.598,287.95,253.14,3601.50,nan,nan,nan,False
18,0.630,287.99,253.21,3589.00,nan,nan,nan,False
19,0.657,288.02,252.91,3576.50,nan,nan,nan,False
20,0.687,287.97,252.90,3583.00,nan,nan,nan,False
21,0.715,288.31,253.16,3626.50,nan,nan,nan,False
22,0.742,287.89,253.03,3626.50,nan,nan,nan,False
23,0.775,288.15,253.56,3640.50,nan,nan,nan,False
24,0.802,288.03,253.46,3612.00,nan,nan,nan,False
25,0.831,287.64,253.79,3586.00,nan,nan,nan,False
26,0.858,287.41,254.08,3653.00,nan,nan,nan,False
27,0.885,288.86,254.56,3768.00,nan,nan,nan,False
28,0.916,288.58,253.81,3784.00,nan,nan,nan,False
29,0.947,288.21,253.74,3783.50,nan,nan,nan,False
30,0.977,287.64,254.16,3770.00,nan,nan,nan,False
31,1.005,287.98,254.19,3826.00,nan,nan,nan,False
32,1.036,287.48,253.92,3779.50,nan,nan,nan,False
33,1.063,287.70,254.59,3801.00,nan,nan,nan,False
34,1.091,287.76,254.60,3788.50,nan,nan,nan,False
35,1.120,287.40,254.04,3775.50,nan,nan,nan,False
36,1.153,287.18,254.29,3659.00,nan,nan,nan,False
37,1.182,287.24,254.25,3827.00,nan,nan,nan,False
38,1.210,287.51,254.56,3844.50,nan,nan,nan,False
39,1.238,287.78,254.48,3820.50,nan,nan,nan,False
40,1.266,288.06,254.12,3832.50,nan,nan,nan,False
41,1.294,288.19,254.08,3695.00,nan,nan,nan,False
42,1.322,288.18,254.48,3856.50,nan,nan,nan,False
43,1.352,288.42,254.44,3880.00,nan,nan,nan,False
44,1.380,288.35,254.21,3856.00,nan,nan,nan,False
45,1.409,288.97,254.00,3859.50,nan,nan,nan,False
46,1.437,288.97,254.43,3851.50,nan,nan,nan,False
47,1.466,289.99,253.56,3843.50,nan,nan,nan,False
48,1.497,290.32,253.27,3875.50,nan,nan,nan,False
49,1.525,289.97,253.37,3879.00,nan,nan,nan,False
50,1.553,289.86,254.11,3869.00,nan,nan,nan,False
51,1.585,289.82,253.81,3912.50,nan,nan,nan,False
52,1.614,290.12,253.82,3861.50,nan,nan,nan,False
53,1.642,290.05,253.99,3918.50,nan,nan,nan,False
54,1.672,290.12,254.10,3929.00,nan,nan,nan,False
55,1.700,289.57,254.19,3962.00,nan,nan,nan,False
56,1.728,289.63,254.33,3819.00,nan,nan,nan,False
57,1.760,290.27,254.12,3944.50,nan,nan,nan,False
58,1.787,290.21,254.20,3946.50,nan,nan,nan,False
59,1.816,290.44,253.91,3977.00,nan,nan,nan,False
60,1.850,290.48,254.36,3963.50,nan,nan,nan,False
61,1.883,290.60,253.80,3826.50,nan,nan,nan,False
62,1.915,290.52,253.93,3979.50,nan,nan,nan,False
63,1.948,290.16,253.52,3978.50,nan,nan,nan,False
64,1.977,290.52,253.94,3981.00,nan,nan,nan,False
65,2.004,290.67,253.79,3968.50,nan,nan,nan,False
66,2.034,291.22,253.76,4038.50,nan,nan,nan,False
67,2.064,290.98,253.62,4028.00,nan,nan,nan,False
68,2.094,291.04,254.06,4036.00,nan,nan,nan,False
69,2.122,290.97,254.29,4020.50,nan,nan,nan,False
70,2.150,290.91,255.40,4023.00,nan,nan,nan,False
71,2.178,291.01,254.90,3901.50,nan,nan,nan,False
72,2.208,291.19,255.14,4067.00,nan,nan,nan,False
73,2.236,291.48,254.85,4051.50,nan,nan,nan,False
74,2.263,291.37,254.67,4035.50,nan,nan,nan,False
75,2.291,291.41,254.71,4049.00,nan,nan,nan,False
76,2.319,292.13,253.85,4097.50,nan,nan,nan,False
77,2.351,292.06,253.98,3935.00,nan,nan,nan,False
78,2.382,292.44,254.27,4086.50,nan,nan,nan,False
79,2.414,291.97,254.23,4085.50,nan,nan,nan,False
80,2.447,292.04,254.02,4122.50,nan,nan,nan,False
81,2.480,291.87,254.10,4114.50,nan,nan,nan,False
82,2.512,291.90,254.17,3968.50,nan,nan,nan,False
83,2.539,292.01,254.09,4131.00,nan,nan,nan,False
84,2.569,292.00,254.66,4149.50,nan,nan,nan,False
85,2.600,292.73,254.56,4129.00,nan,nan,nan,False
86,2.629,292.96,254.42,4121.50,nan,nan,nan,False
87,2.658,293.23,254.34,4163.50,nan,nan,nan,False
88,2.685,292.74,254.55,4147.00,nan,nan,nan,False
89,2.714,293.19,254.07,4122.00,nan,nan,nan,False
90,2.742,293.07,254.20,4132.50,nan,nan,nan,False
91,2.774,293.66,254.41,4151.00,nan,nan,nan,False
92,2.801,293.53,254.13,3999.50,nan,nan,nan,False
93,2.831,293.50,254.26,4142.50,nan,nan,nan,False
94,2.860,294.30,253.65,4142.50,nan,nan,nan,False
95,2.889,294.23,253.56,4147.50,nan,nan,nan,False
