frame,time,x,y,area,x to arena,y to arena,measure,in trakcing roi
0,0.037,-1.00,-1.00,0.00,nan,nan,nan,False
1,0.065,-1.00,-1.00,0.00,nan,nan,nan,False
2,0.082,-1.00,-1.00,0.00,nan,nan,nan,False
3,0.099,-1.00,-1.00,0.00,nan,nan,nan,False
4,0.116,-1.00,-1.00,0.00,nan,nan,nan,False
5,0.132,-1.00,-1.00,0.00,nan,nan,nan,False
6,0.181,984.99,232.22,5184.00,nan,nan,nan,False
7,0.232,985.28,230.21,5351.00,nan,nan,nan,False
8,0.282,986.67,230.03,5836.00,nan,nan,nan,False
9,0.316,987.17,229.70,5821.50,nan,nan,nan,False
10,0.345,987.82,228.04,5913.00,nan,nan,nan,False
11,0.379,988.71,228.11,5276.00,nan,nan,nan,False
12,0.413,989.14,227.36,5683.50,nan,nan,nan,False
13,0.443,989.00,227.20,5767.00,nan,nan,nan,False
14,0.476,988.37,226.81,5000.50,nan,nan,nan,False
15,0.508,987.98,226.14,5020.50,nan,nan,nan,False
16,0.542,988.97,226.56,5257.00,nan,nan,nan,False
17,0.574,988.58,226.51,5015.50,nan,nan,nan,False
18,0.607,989.35,226.54,5010.00,nan,nan,nan,False
19,0.639,989.39,226.73,5099.00,nan,nan,nan,False
20,0.672,989.20,226.45,4976.50,nan,nan,nan,False
21,0.704,989.43,226.77,5063.00,nan,nan,nan,False
22,0.732,989.80,227.17,5024.00,nan,nan,nan,False
23,0.766,989.87,227.26,5043.50,nan,nan,nan,False
24,0.797,989.94,227.61,5003.00,nan,nan,nan,False
25,0.830,991.14,230.16,5051.00,nan,nan,nan,False
26,0.859,992.91,234.98,5241.00,nan,nan,nan,False
27,0.891,993.56,236.28,5967.00,nan,nan,nan,False
28,0.923,991.77,231.94,5955.00,nan,nan,nan,False
29,0.955,992.47,230.21,5763.50,nan,nan,nan,False
30,0.989,991.85,228.16,5710.00,nan,nan,nan,False
31,1.022,990.90,228.57,5917.50,nan,nan,nan,False
32,1.052,991.54,228.60,5807.00,nan,nan,nan,False
33,1.084,991.75,228.61,5795.00,nan,nan,nan,False
34,1.117,991.35,228.87,5784.00,nan,nan,nan,False
35,1.150,990.90,229.26,5824.50,nan,nan,nan,False
36,1.183,991.07,229.22,5256.50,nan,nan,nan,False
37,1.215,991.15,228.73,5867.00,nan,nan,nan,False
38,1.244,990.31,228.78,5969.00,nan,nan,nan,False
39,1.275,991.81,229.51,5833.00,nan,nan,nan,False
40,1.307,991.98,229.86,5834.00,nan,nan,nan,False
41,1.341,991.83,230.02,5454.50,nan,nan,nan,False
42,1.372,991.87,230.98,5846.00,nan,nan,nan,False
43,1.401,991.27,231.08,5986.50,nan,nan,nan,False
44,1.430,991.97,232.36,5934.00,nan,nan,nan,False
45,1.458,992.09,233.65,6176.00,nan,nan,nan,False
46,1.490,993.33,234.11,6147.00,nan,nan,nan,False
47,1.521,993.60,232.53,5968.00,nan,nan,nan,False
48,1.550,991.85,231.33,6188.00,nan,nan,nan,False
49,1.578,991.28,231.78,6144.50,nan,nan,nan,False
50,1.610,991.90,231.53,6140.50,nan,nan,nan,False
51,1.641,991.78,231.64,6290.00,nan,nan,nan,False
52,1.673,991.84,230.81,6216.50,nan,nan,nan,False
53,1.704,992.05,230.46,6258.50,nan,nan,nan,False
54,1.734,992.30,230.78,6240.50,nan,nan,nan,False
55,1.763,991.84,231.13,6346.50,nan,nan,nan,False
56,1.794,992.09,231.37,5593.00,nan,nan,nan,False
57,1.823,991.64,231.23,6327.50,nan,nan,nan,False
58,1.853,992.08,231.55,6299.00,nan,nan,nan,False
59,1.882,992.30,231.53,6404.00,nan,nan,nan,False
60,1.916,991.53,231.33,6362.50,nan,nan,nan,False
61,1.948,991.33,231.58,5918.00,nan,nan,nan,False
62,1.978,991.42,231.76,6342.00,nan,nan,nan,False
63,2.012,991.25,232.55,6258.00,nan,nan,nan,False
64,2.050,991.41,233.93,6432.00,nan,nan,nan,False
65,2.082,991.42,232.98,6474.50,nan,nan,nan,False
66,2.113,992.03,233.13,6639.50,nan,nan,nan,False
67,2.146,992.18,232.84,6450.00,nan,nan,nan,False
68,2.181,991.65,233.03,6433.00,nan,nan,nan,False
69,2.215,992.22,232.42,6491.00,nan,nan,nan,False
70,2.245,991.52,232.11,6514.00,nan,nan,nan,False
71,2.279,991.58,231.66,6103.50,nan,nan,nan,False
72,2.310,992.15,232.27,6386.00,nan,nan,nan,False
73,2.342,992.66,232.45,6369.50,nan,nan,nan,False
74,2.374,992.58,232.21,6483.00,nan,nan,nan,False
75,2.407,991.42,231.44,6469.00,nan,nan,nan,False
76,2.442,992.26,232.20,6458.50,nan,nan,nan,False
77,2.475,991.62,232.41,6042.50,nan,nan,nan,False
78,2.507,991.84,232.05,6631.00,nan,nan,nan,False
79,2.540,991.85,232.72,6463.00,nan,nan,nan,False
80,2.573,991.21,232.51,6675.00,nan,nan,nan,False
81,2.606,991.32,232.67,6676.00,nan,nan,nan,False
82,2.639,992.11,233.16,5893.00,nan,nan,nan,False
83,2.673,990.93,233.07,6716.50,nan,nan,nan,False
84,2.706,991.89,232.57,6581.50,nan,nan,nan,False
85,2.735,990.92,232.54,6667.00,nan,nan,nan,False
86,2.770,991.68,233.19,6448.50,nan,nan,nan,False
87,2.803,992.27,233.04,6803.50,nan,nan,nan,False
88,2.837,992.00,232.54,6526.50,nan,nan,nan,False
89,2.868,991.62,233.48,6672.00,nan,nan,nan,False
90,2.898,992.19,232.55,6509.50,nan,nan,nan,False
91,2.930,991.81,232.96,6703.00,nan,nan,nan,False
92,2.960,991.78,232.20,6072.50,nan,nan,nan,False
93,2.992,991.80,232.69,6735.00,nan,nan,nan,False
94,3.023,992.55,232.30,6508.50,nan,nan,nan,False
95,3.059,991.89,233.25,6667.50,nan,nan,nan,False
96,3.093,991.32,233.64,6752.00,nan,nan,nan,False
97,3.126,991.01,232.71,6301.00,nan,nan,nan,False
98,3.164,991.20,233.13,6751.00,nan,nan,nan,False
99,3.200,990.70,232.84,6721.00,nan,nan,nan,False
100,3.230,991.51,234.93,6822.50,nan,nan,nan,False
101,3.260,991.37,233.85,6834.50,nan,nan,nan,False
102,3.292,991.04,233.32,6290.00,nan,nan,nan,False
